Season,Location,Format,Date,Winner,Attendance
2012–13,Auckland,Standard,11/03/12,Walker MacMurdo,264
2012–13,Chicago,Modern,11/10/12,Jacob Wilson,1115
2012–13,Bochum,Standard,11/17/12,Martin Jůza,1731
2012–13,Charleston,Standard,11/17/12,Jon Bolding,661
2012–13,Taipei,Limited,11/24/12,Makihito Mihara,727
2012–13,San Antonio,Standard,11/24/12,Tyler Lytle,807
2012–13,Lisbon,Limited,12/01/12,Ivan Floch,1343
2012–13,Toronto,Modern,12/08/12,Willy Edel,1051
2012–13,Nagoya,Standard,12/08/12,Yuuji Okita,1689
2012–13,Indianapolis,Limited,12/22/12,Ben Stark,815
2012–13,Denver,Legacy,01/05/13,Vidianto Wijaya,700
2012–13,Atlantic City,Standard,01/12/13,Jon Stern,1648
2012–13,Singapore,Limited,01/12/13,Ken Yukuhiro,894
2012–13,Bilbao,Modern,01/19/13,Mitchell Manders,988
2012–13,Sydney,Limited,01/19/13,Allen Zhang,686
2012–13,London,Limited,02/09/13,Timothée Simonot,1970
2012–13,Quebec City,Standard,02/23/13,Nico Christiansen,806
2012–13,Charlotte,Limited,02/23/13,Frank Skarren,2672
2012–13,Yokohama,Limited,03/02/13,Masaya Kitayama,2281
2012–13,Verona,Standard,03/09/13,Mike Krasnitski,1208
2012–13,Rio de Janeiro,Standard,03/09/13,José Francisco da Silva,709
2012–13,San Diego,Modern,03/16/13,Nathan Holiday,759
2012–13,Utrecht,Team Limited,03/16/13,"Fredrik Carlsson, Jonathan Bergström, Tomas Westling",2031
2012–13,Pittsburgh,Limited,03/23/13,Brock Parker,1629
2012–13,Strasbourg,Legacy,04/13/13,Thomas Enevoldsen,1364
2012–13,Portland,Modern,05/11/13,Sam Pardee,979
2012–13,Beijing,Limited,05/11/13,Zhou Quan,894
2013–14,Guadalajara,Standard,05/25/13,Andres Martinez,462
2013–14,Gothenburg,Limited,06/08/13,Oscar Christensen,1006
2013–14,Providence,Team Limited,06/08/13,"Andrew Longo, Eric Phillipps, Eric Berger",1758
2013–14,Houston,Limited,06/15/13,Shahar Shenhar,1006
2013–14,Bangkok,Limited,06/22/13,Patriawan Kurniadi,867
2013–14,Las Vegas,Limited,06/22/13,Neal Oliver,4492
2013–14,Miami,Standard,06/29/13,Reid Duke,1257
2013–14,Kansas City,Modern,07/06/13,Seth Manfield,958
2013–14,Calgary,Standard,07/27/13,Alexander Hayne,630
2013–14,Rimini,Limited,07/27/13,Christoph Aukenthaler,1037
2013–14,Warsaw,Standard,08/10/13,Wenzel Krautmann,984
2013–14,Kitakyushu,Standard,08/24/13,Raymond Tan,1184
2013–14,Oakland,Limited,08/24/13,William Jensen,1631
2013–14,Prague,Limited,08/31/13,Anatoly Chukhwicov,1508
2013–14,Detroit,Modern,09/14/13,Josh McClain,1460
2013–14,Brisbane,Modern,10/05/13,Justin Robb,466
2013–14,Oklahoma City,Limited,10/05/13,Pierre-Christophe Mondon,1081
2013–14,Louisville,Standard,10/19/13,Brian Braun-Duin,1047
2013–14,Hong Kong,Limited,10/19/13,Shuhei Nakamura,985
2013–14,Antwerp,Modern,10/26/13,Patrick Dickmann,1601
2013–14,Santiago,Standard,11/02/13,Luis Navas,731
2013–14,Valencia,Limited,11/09/13,Samuel Marti,1076
2013–14,"Washington, D.C.",Legacy,11/16/13,Owen Turtenwald,1698
2013–14,Albuquerque,Standard,11/22/13,Owen Turtenwald,862
2013–14,Kyoto,Team Limited,11/22/13,"Alexander Hayne, Richard Hoaen, Michael Hron",1734
2013–14,Toronto,Limited,11/30/13,Ari Lax,1603
2013–14,Vienna,Standard,11/30/13,Marcin Staciwa,1465
2013–14,Dallas,Standard,12/06/13,Marlon Gutierrez,834
2013–14,Shizuoka,Standard,12/20/13,Ryo Nakada,1784
2013–14,Prague,Modern,01/10/14,Vjeran Horvat,1396
2013–14,Sacramento,Limited,01/17/14,Tom Martell,1855
2013–14,Vancouver,Standard,01/24/14,Alexander Hayne,1042
2013–14,Kuala Lumpur,Limited,01/24/14,Fabien Li,1007
2013–14,Paris,Legacy,02/14/14,Javier Dominguez,1587
2013–14,Mexico City,Limited,02/14/14,Marc Lalague,701
2013–14,Barcelona,Team Limited,02/28/14,"Christian Seibold, Tobias Gräfensteiner, Daniel Gräfensteiner",1617
2013–14,Melbourne,Standard,02/28/14,Sung-wook Nam,902
2013–14,Richmond,Modern,03/07/14,Brian Liu,4303
2013–14,Montreal,Limited,03/14/14,Gerard Fabiano,1622
2013–14,Buenos Aires,Standard,03/14/14,Philippe Monlevade,882
2013–14,Cincinnati,Standard,03/21/14,Kyle Boggemes,1734
2013–14,Vienna,Limited,03/21/14,Aniol Alcaraz,1205
2013–14,Beijing,Standard,03/28/14,Yuuya Watanabe,1064
2013–14,Phoenix,Standard,04/04/14,Robert Berni,1461
2013–14,Philadelphia,Limited,04/11/14,Frank Skarren,1923
2013–14,Nagoya,Limited,04/11/14,Ryousuke Kasuga,1786
2013–14,Minneapolis,Modern,05/09/14,Jun-young Park,1691
2013–14,Warsaw,Limited,05/09/14,Fabrizio Anteri,1002
2013–14,Atlanta,Limited,05/23/14,Jon Stern,1298
2013–14,Manchester,Block Constructed,05/30/14,Fabrizio Anteri,1403
2013–14,São Paulo,Team Limited,05/30/14,"Tulio Jaudy, Guilherme Merjan, Carlos dos Santos Esteves",945
2013–14,Moscow,Standard,06/13/14,Igor Gorbunov,532
2013–14,Chicago,Standard,06/20/14,Tyler Blum,2041
2013–14,"Washington, D.C.",Limited,06/27/14,Mike Sigrist,1424
2013–14,Milan,Limited,06/27/14,Jérémy Dezani,1147
2013–14,Boston-Worcester,Modern,07/25/14,Robin Dolar,2460
2013–14,Taipei,Limited,07/25/14,Hao-Shan Huang,852
2014–15,Portland,Team Limited,08/08/14,"Owen Turtenwald, William Jensen, Reid Duke",1947
